studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
hcc_tcga_gdc:TCGA-DD-AACG-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACF-01	1	0	1	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACE-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACD-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AACC-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACB-01	1	1	0	0	0	1	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-AACA-02	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AACA-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAC9-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AAC8-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-AA3A-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A73G-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A73F-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A73E-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A73D-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A73C-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A73B-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A73A-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NV-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NS-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NR-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NQ-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NP-01	1	0	0	1	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NO-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-A4NN-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NL-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NK-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NJ-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NI-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NH-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NF-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4ND-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NB-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A4NA-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A3A9-01	1	0	0	0	0	0	0	0	0	1	0
hcc_tcga_gdc:TCGA-DD-A3A8-01	1	0	0	1	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A3A7-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A3A6-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A3A5-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A3A4-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A3A3-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-A3A2-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A3A1-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A3A0-01	1	0	0	1	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A39Z-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A39Y-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-A39X-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-A39W-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A39V-01	1	1	1	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1EL-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-A1EK-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1EJ-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1EI-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1EH-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1EG-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-A1EF-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1ED-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1EC-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1EB-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1EA-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A1E9-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-A11D-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A11C-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A11B-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A11A-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A119-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-DD-A118-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-DD-A116-01	1	1	0	0	0	0	0	0	1	0	0
