studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
ucec_tcga_gdc:TCGA-BG-A0MQ-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0MO-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0MK-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0MI-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0MG-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0MC-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0MA-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0M9-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0M8-01	1	0	0	0	1	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-BG-A0M7-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0M6-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0M4-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0M3-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0M2-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0M0-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0LX-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-BG-A0LW-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-B5-A5OE-01	1	0	0	0	0	0	0	1	0	0	0
ucec_tcga_gdc:TCGA-B5-A5OD-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-B5-A5OC-01	1	1	0	0	0	1	0	0	0	0	0
ucec_tcga_gdc:TCGA-B5-A3FH-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-B5-A3FD-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-B5-A3FC-01	1	0	1	1	0	1	1	0	0	0	1
ucec_tcga_gdc:TCGA-B5-A3FB-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-B5-A3FA-01	1	1	0	1	0	0	1	0	0	1	0
